Month,Day,Hour,Year,Temp,RH,wind,ssrd,strd,sp,tp
1,1,0,2007,274.3164995,96.9331389,1.373317726,0,313.4283333,56498.70815,0.0001
1,1,1,2007,274.0366598,97.93328874,1.326652562,0,303.7866667,56455.62976,0.0001
1,1,2,2007,273.91659,97.46670414,1.199972989,0,313.9183333,56401.05822,0.0001
1,1,3,2007,273.8031679,96.99991751,1.173322601,0,312.7916667,56354.15548,0.0001
1,1,4,2007,273.5564142,97.4665921,1.266656208,0,309.97,56330.51943,0.0001
1,1,5,2007,273.3295366,97.79986995,1.299995419,10.49333333,316.255,56322.79514,0.0001
1,1,6,2007,273.1294735,97.13329737,1.413311244,118.9283333,312.8416667,56352.61482,0.0001
1,1,7,2007,273.1295618,96.40016067,1.573323335,267.225,313.3566667,56396.38381,0.0001
1,1,8,2007,274.4165785,90.79995266,1.593320218,429.005,333.81,56452.77337,0.0001
1,1,9,2007,275.6899985,78.53311779,2.133342965,509.0233333,345.5966667,56484.84946,0.0001
1,1,10,2007,277.1033889,69.26553449,2.766677995,610.4283333,349.765,56514.18062,0.0001
1,1,11,2007,278.0901516,65.39519081,3.126753017,663.5966667,352.87,56515.25037,0.0001
1,1,12,2007,279.057476,65.33003778,3.633383912,575.2683333,353.56,56493.0713,0.0001
1,1,13,2007,279.4906395,69.19780039,4.220074495,483.88,352.2916667,56450.03845,0.0001
1,1,14,2007,279.8742804,73.53277987,4.720286524,427.0616667,346.5833333,56399.4977,0.0001
1,1,15,2007,279.3771054,78.53182643,4.493377592,319.395,336.4683333,56367.60771,0.0001
1,1,16,2007,278.8236276,79.86475961,4.286711477,194.615,331.8233333,56315.91537,0.0001
1,1,17,2007,278.0835117,81.19929312,3.313393879,65.91833333,331.3666667,56287.3761,0.0001
1,1,18,2007,277.4034728,80.59935172,2.346716668,0,310.53,56292.91905,0.0001
1,1,19,2007,276.6768147,82.7327755,1.873320043,0,299.7333333,56332.52554,0.0001
1,1,20,2007,275.7900492,90.53333501,1.373312981,0,314.5183333,56383.67079,0.0001
1,1,21,2007,275.2634245,93.4666235,1.473328668,0,317.2933333,56430.43669,0.0001
1,1,22,2007,274.8567182,96.39994328,1.313322371,0,316.2783333,56475.63292,0.0001
1,1,23,2007,274.483066,98.20003959,1.199985574,0,313.995,56499.0032,0.0001
1,2,0,2007,274.2232599,99.20007148,1.119993639,0,315.2366667,56486.39583,0.0001
1,2,1,2007,274.0365636,99.53333515,1.006648042,0,300.08,56442.14866,0.0001
1,2,2,2007,273.9965629,99.06663122,0.966656655,0,312.2233333,56393.61056,0.0001
1,2,3,2007,273.6087182,98.4667275,1.333314804,0,315.71,56347.47942,0.0001
1,2,4,2007,273.402905,97.60002435,1.393327549,0,310.7483333,56319.73916,0.0001
1,2,5,2007,273.1963821,97.666804,1.413300111,9.483333333,318.7183333,56316.18106,0.0001
1,2,6,2007,273.0749398,97.7333426,1.39999518,120.5033333,312.1016667,56345.52223,0.0001
1,2,7,2007,273.3097545,97.0666977,1.213306192,281.7816667,314.595,56387.48466,0.0001
1,2,8,2007,274.4165945,92.26650151,1.593324257,433.8066667,335.715,56441.52019,0.0001
1,2,9,2007,275.6633296,80.39884968,2.20085737,546.8683333,344.3116667,56471.3347,0.0001
